index,id,mandate_m,usage,pred,score0,score1
1469,@1430248896345694209,1,train,1,-2.7161827,2.9683766
130,@1417780967121457154,0,train,0,2.9607792,-3.0862236
1671,@1452306247043227654,0,train,0,2.787281,-2.8666446
3238,@1471339243213516802,1,train,1,-2.7866197,3.0427969
797,@1420561620825214978,1,train,1,-2.8312874,3.0494754
923,@1427727251626414082,0,train,0,3.0797727,-3.244107
1347,@1470139918089396237,0,train,0,3.0561042,-3.2049086
2272,@1439259409071239168,0,train,0,3.0745156,-3.2759821
2334,@1443566916896018432,0,train,0,3.030945,-3.1998918
3109,@1481353330072895497,0,train,0,2.9916844,-3.1655798
15,@1428026745374969859,0,train,0,3.0584128,-3.2280586
1707,@1438604199051268100,0,train,0,3.0525725,-3.2275188
2200,@1429807157290151938,0,train,0,3.047637,-3.1992455
173,@1453385348151750656,1,train,1,-2.8082135,3.067216
660,@1487500763471491079,0,train,0,3.0749547,-3.2519705
580,@1445783177314795525,0,train,0,3.0759206,-3.24386
1216,@1459215118953324550,0,train,0,3.0600843,-3.219445
1409,@1457818785981898765,1,train,1,-2.7672608,3.0019069
2849,@1421064868250079238,0,train,0,3.0737062,-3.2607214
2288,@1472320879585595397,1,train,1,-2.8358762,3.0781057
2565,@1439602438240038918,1,train,1,-2.5404067,2.7696908
2044,@1440912841331159041,0,train,0,3.0012486,-3.2439864
1033,@1440007001770188804,1,train,1,-2.826565,2.9925473
1023,@1468771547422863364,0,train,0,3.0165005,-3.1842878
1137,@1475481011073044489,0,train,0,3.0882995,-3.2609203
17,@1422165280491409409,1,train,1,-2.846752,3.087081
1526,@1474395528121229321,0,train,0,3.0610352,-3.2506506
1977,@1471147290119311364,1,train,1,-2.804791,3.0600584
919,@1468305270342393858,0,train,0,2.9536278,-3.0998266
178,@1411995762003787777,0,train,0,3.0723183,-3.2687652
932,@1483318087957217281,0,train,0,3.056834,-3.2567728
1925,@1453211276943974402,0,train,0,3.0239499,-3.1908677
2151,@1436185488289935363,0,train,0,3.0406628,-3.2325351
2671,@1434927303147114502,1,train,1,-2.768418,3.0005689
1056,@1496631543569158147,0,train,0,3.017329,-3.2006364
1291,@1414323443051401223,0,train,0,3.0342493,-3.2134218
3005,@1436229724808826880,0,train,0,3.061708,-3.2456756
1190,@1485619509172047875,0,train,0,3.0737615,-3.2528846
1473,@1426010145763569666,0,train,0,3.0446854,-3.2264597
1294,@1476201071710195714,0,train,0,3.0118093,-3.2036862
2124,@1438147379975307278,1,train,1,-2.7319505,2.9529986
1261,@1421600350012805120,1,train,1,-2.814516,3.0753152
2351,@1430223705679007751,0,train,0,3.0504603,-3.2005997
2661,@1430098610843234304,0,train,0,2.9960024,-3.1767724
585,@1430400865144217602,0,train,0,3.0838115,-3.2578404
3065,@1438306123258294272,1,train,1,-2.8592331,3.0821948
548,@1447283859213766661,0,train,0,3.0426314,-3.2252586
968,@1437562081948098564,0,train,0,3.0885322,-3.2559993
3233,@1467963640942895113,1,train,1,-2.812727,3.0735147
1131,@1472316515575910401,1,train,1,-2.7975357,3.0371432
2550,@1438134931146907657,1,train,1,-2.828289,3.08394
924,@1410492285972889601,0,train,0,2.9884467,-3.1348312
1773,@1481948873677578243,0,train,0,3.0769393,-3.276171
2362,@1410463592642613252,0,train,0,3.0773213,-3.2646916
2818,@1476002186035445765,0,train,0,2.3596828,-2.5371792
2349,@1478266687254319104,1,train,1,-2.8000891,3.0244906
828,@1448390210908262401,0,train,0,3.0461264,-3.258498
3381,@1429205425346416644,0,train,0,3.073198,-3.2167962
2510,@1446855411865243654,1,train,1,-2.8095243,3.0607646
723,@1424541795363479556,0,train,0,3.0789893,-3.2636864
2552,@1428726094862094346,0,train,0,3.0964448,-3.2871616
254,@1462864533228244996,1,train,1,-2.8192196,3.0663335
1403,@1481060350409814023,1,train,1,-2.7940788,3.0498183
2914,@1483551543379038208,0,train,0,3.0618823,-3.2321548
1026,@1477191073822912513,0,train,0,3.0384214,-3.2193553
760,@1477835929104617483,0,train,0,3.056657,-3.2213206
3254,@1414309664494346251,0,train,0,3.0400972,-3.2228994
1622,@1465133484817760257,0,train,0,3.069322,-3.254602
1830,@1419437400791699468,0,train,1,-2.696124,2.968976
765,@1477109337722028032,0,train,0,3.0749176,-3.237834
1036,@1458130723727192067,0,train,0,3.0569997,-3.2091866
782,@1473640300912521219,1,train,1,-2.8231437,3.0602186
3104,@1415052939719290887,1,train,1,-2.837816,3.023019
2861,@1473842633495752710,1,train,1,-2.2958372,2.524351
1314,@1452578084192800775,0,train,0,3.0419726,-3.262731
1940,@1458185031172640778,0,train,0,3.0443876,-3.250669
2040,@1440228378041225228,1,train,1,-2.7924407,3.0457613
2144,@1441483036999229441,1,train,1,-2.8219194,3.0784738
572,@1489624552908877824,1,train,1,-2.7474704,2.985492
1882,@1438584942863257605,0,train,0,3.0539696,-3.2703419
2448,@1450138614512316423,0,train,0,3.0584245,-3.214062
223,@1417611065488076800,1,train,1,-2.8225427,3.082885
1895,@1448607744051843080,1,train,1,-2.850162,3.0730722
1498,@1425192598218502148,0,train,0,3.0430276,-3.248881
3098,@1433218155292336132,1,train,1,-2.8223703,3.075411
3470,@1412807413628129283,0,train,0,3.0526588,-3.2509563
620,@1445688277193789453,0,train,0,2.8402205,-2.9761636
779,@1448259539741155335,0,train,0,3.0688665,-3.2497642
3432,@1437586487927734275,0,train,0,3.0835361,-3.2341537
1968,@1440488509211508739,0,train,0,2.9721785,-3.169864
3083,@1426214721368248326,1,train,1,-2.7450302,2.9789295
1911,@1445769682267500548,0,train,0,3.0680118,-3.2728722
156,@1444602192594280451,0,train,0,3.069547,-3.2587526
507,@1491448031153369089,0,train,0,3.0767086,-3.2700253
969,@1456441940216463366,1,train,1,-2.7132728,2.963434
761,@1420143637728464905,0,train,0,2.9955287,-3.154754
2789,@1436296317521833988,0,train,0,2.943296,-3.0978801
2810,@1431334469764481029,0,train,0,3.0708458,-3.2552512
2508,@1467846217002536961,0,train,0,2.9055264,-3.0777862
343,@1477327148528635906,0,train,0,3.0747845,-3.2359564
700,@1470968017106391043,0,train,0,3.034192,-3.1909616
2176,@1469079457466101762,0,train,0,3.0589921,-3.2652957
397,@1417962539602747393,0,train,0,3.050999,-3.2076373
1073,@1462220652824379395,1,train,1,-2.8231204,3.0352979
1101,@1493910858854019076,0,train,0,3.0724142,-3.2348492
2959,@1480311113447313418,1,train,1,-2.6881468,2.9329526
2796,@1457894366752636929,1,train,1,-2.768768,3.003741
1432,@1432949906977685505,0,train,0,3.0858972,-3.2762928
2217,@1492281173048975362,0,train,0,3.0410354,-3.2133868
945,@1428625553960148997,0,train,0,3.0360603,-3.1871865
1202,@1467131340999041024,1,train,1,-2.6791942,2.9493434
2088,@1450240590344425476,0,train,0,3.0561125,-3.254786
1834,@1451145992426991617,0,train,0,3.082468,-3.2771583
144,@1486730445311995905,0,train,0,3.0964706,-3.288954
2840,@1447618574219190274,1,train,1,-2.819781,3.066192
25,@1437110449728733186,1,train,1,-2.806867,3.0538175
2985,@1429812759034728451,0,train,0,3.062214,-3.262214
3297,@1428959046766313475,1,train,1,-2.8358667,3.0801985
479,@1412824178835795970,0,train,0,3.0374463,-3.2154725
1271,@1498171834218745862,0,train,0,3.0867758,-3.2388546
1754,@1470402457813479425,0,train,0,3.0156724,-3.1651971
1607,@1468334754533711873,1,train,1,-2.8203328,3.0649421
2593,@1473493504332468230,0,train,0,3.0216033,-3.1819203
1983,@1450451222142627845,0,train,0,3.0813253,-3.2587605
2287,@1455231993097203715,0,train,0,3.0652359,-3.2617404
1124,@1436214126074814464,0,train,0,3.0664794,-3.225465
3243,@1450284303183716360,1,train,1,-2.6598477,2.8805819
3337,@1429351172670906378,0,train,0,3.000486,-3.1833746
1907,@1420474837542195202,0,train,0,3.0651302,-3.2500072
122,@1448294185992396810,1,train,1,-2.812643,3.0622132
751,@1415042106851201027,0,train,0,3.018652,-3.1483898
2865,@1485236707809239041,1,train,1,-2.8252454,3.0706317
498,@1485034643590156300,0,train,0,3.0242107,-3.1816058
621,@1449126120880685060,0,train,0,3.0803192,-3.2671232
616,@1432541806189694982,0,train,0,3.0920494,-3.2708611
1166,@1434191363248173059,0,train,0,2.8362694,-3.072878
2010,@1437539457981419521,0,train,0,3.0696006,-3.2580369
1326,@1475085906558296068,0,train,0,3.0437706,-3.198829
1048,@1451007633301852171,0,train,0,3.0556767,-3.2256665
3246,@1453465215186653186,0,train,0,3.068464,-3.287256
3167,@1428415822767263747,0,train,0,3.037183,-3.2338784
2135,@1440008647392718849,0,train,0,3.0592268,-3.2407622
1098,@1451687214774030339,1,train,1,-2.7997742,3.0606062
1397,@1459685037717307394,0,train,0,3.075406,-3.25546
314,@1452819080621301767,0,train,0,3.0755897,-3.2532556
2061,@1448468932524904455,0,train,0,3.0861526,-3.2406247
2146,@1473967070928846856,0,train,0,3.0776303,-3.2638152
2658,@1477560455942057987,0,train,0,3.0641863,-3.2317767
2524,@1419023061521633280,0,train,0,3.053364,-3.2433827
2053,@1439269022143553540,0,train,0,3.0417964,-3.2214382
174,@1487633832719548420,0,train,0,3.0683532,-3.2525742
2148,@1458847043385012230,0,train,0,3.017903,-3.1612387
259,@1449183917874028544,0,train,0,2.896975,-3.0757918
3411,@1429197042866401291,0,train,0,3.044595,-3.1985843
1905,@1412979078840397825,0,train,0,3.061703,-3.255922
1745,@1457740636577271820,0,train,0,3.027764,-3.2135968
1962,@1463073327052906496,1,train,1,-2.8159902,3.0703342
2769,@1429975244735922180,1,train,1,-2.7942247,3.0422482
2555,@1422532924998565894,0,train,0,3.0600302,-3.2448685
3311,@1418312719200030735,0,train,0,3.0542285,-3.225056
638,@1419765850114977803,1,train,1,-2.8371665,3.0497851
1829,@1431208966118330368,0,train,0,3.0306425,-3.1417985
2360,@1421892296195207168,0,train,0,3.0691397,-3.2329934
628,@1464703407768289283,0,train,0,3.0468435,-3.2161424
1750,@1422642775187730437,0,train,0,3.0670729,-3.2216635
1071,@1423435326169681922,0,train,0,3.0571504,-3.2084415
413,@1426688083194437633,1,train,1,-2.5936754,2.848059
2306,@1488763414378065920,0,train,0,2.9268262,-3.0719867
2149,@1471969018273841159,0,train,0,2.8543384,-3.0070128
2692,@1442059352861519874,1,train,1,-2.8458884,3.079654
1118,@1438272718496014336,0,train,0,3.0020657,-3.1806881
138,@1452011812187086848,1,train,1,-2.769849,3.0274909
2064,@1415203367555682304,0,train,0,3.0638757,-3.2360697
2756,@1471958663829106696,0,train,0,3.0808043,-3.2728126
901,@1429014151494610947,1,train,1,-2.786527,3.0408525
2345,@1488146105330278401,0,train,0,3.0807338,-3.261983
930,@1472216523662049289,1,train,1,-2.8089535,3.0528996
431,@1476651735565361157,0,train,0,3.058172,-3.2667487
2588,@1497269279410040839,0,train,0,3.0741324,-3.2736146
1965,@1465970927804588033,0,train,0,3.0548704,-3.2439787
3395,@1484669494953873409,0,train,0,3.0501707,-3.2423823
663,@1463229056439123968,0,train,0,3.0676382,-3.2526994
